StateDesc,workout,all,mcdonalds,burgerking,tacobell,dominos,kfc,mc_tb_do_kc,gdp_22
Alabama,19.3,81.7,5.00,3.50,2.80,2.50,1.80,15.60,277817500000.00
Alaska,27.9,61.9,4.2,1.1,2.1,1.4,0.8,9.60,63618000000.00
Arizona,26.3,67.9,3.9,2.5,2.5,1.6,0.8,11.30,458949800000.00
Arkansas,15.7,69.9,5.7,2.7,3.5,2.2,2,16.10,165220600000.00
California,24,82.3,3.2,1.4,2.1,1.4,1.1,9.20,3598102700000.00
Colorado,32.5,75.7,3.6,2,2.6,2.3,1.2,11.70,484371500000.00
Connecticut,24.5,76.1,4,1.8,1.4,1.5,1,9.70,321844600000.00
Delaware,20.1,78.3,3.7,2.1,1.5,2.7,1.1,11.10,87524800000.00
Florida,21.1,65.5,4.2,2.7,2.1,1.9,1.2,12.10,1389069700000.00
Georgia,20.2,82.5,4.2,2.6,2.3,2.1,1.5,12.70,755697900000.00
Hawaii,24.4,97.5,5.2,2,2.1,1.6,1.1,12.00,98218800000.00
Idaho,31.4,65.5,3.5,2,1.8,2.4,0.8,10.50,109546500000.00
Illinois,24.8,82.5,5.2,2.4,2.1,1.6,1.2,12.50,1033310100000.00
Indiana,15.1,73.7,5.2,2.9,3.5,1.7,1.8,15.10,455750200000.00
Iowa,22.2,67.7,4.6,2.6,1.7,1.3,1.3,11.50,231107800000.00
Kansas,23.2,74.7,5.1,2.3,3.2,1.5,1.3,13.40,210670500000.00
Kentucky,14.6,74.2,5.6,2.3,3.3,2.1,2.3,15.60,260304100000.00
Louisiana,20.3,76.2,5.1,3.4,2.9,2.3,1,14.70,281429300000.00
Maine,24,74.9,4.6,2.5,1.5,1.9,1.3,11.80,84497500000.00
Maryland,22.9,89.7,4.7,2,1.5,2,1.1,11.30,470187100000.00
Massachusetts,29.5,77.5,3.4,1.7,1,1.9,0.7,8.70,688391600000.00
Michigan,23.6,73.9,5.4,2.9,3,1.3,1.6,14.20,620695600000.00
Minnesota,27.7,67,4,2.1,1.5,2.3,0.7,10.60,446499500000.00
Mississippi,13.5,77.3,4.7,3,2.8,2.4,2.3,15.20,138739700000.00
Missouri,23.6,72.9,5.1,2.1,3.5,2.4,1.2,14.30,389931200000.00
Montana,20.2,69.8,4.5,2.2,1.9,2.1,0.9,11.60,65014500000.00
Nebraska,23.9,71.9,4,3.4,2.2,1.4,1.2,12.20,161702000000.00
Nevada,23.6,84.8,4.6,2.1,2.6,1.8,1.3,12.40,215917800000.00
New Hampshire,30.7,79.8,4,2.3,1.5,2.1,1,10.90,105414400000.00
New Jersey,21,81.2,2.9,2.1,1.1,1.8,0.6,8.50,745422200000.00
New Mexico,23,73.4,5.1,2.6,2.8,2.9,1.8,15.20,122114800000.00
New York,18.9,92.3,3.1,1.8,1,1.2,0.8,7.90,2053179700000.00
North Carolina,22.4,76.9,4.6,2.3,2.4,2.7,1.7,13.70,730072400000.00
North Dakota,20.2,65.6,3.1,2.8,1.4,2.1,1,10.40,73267100000.00
Ohio,23.9,82.8,5.2,2.9,3.2,2.2,1.7,15.20,822669700000.00
Oklahoma,19,76,5.2,1.6,2.8,1.9,1.7,13.20,240534300000.00
Oregon,25.8,73.4,3.8,2,2.7,1.9,1.2,11.60,299125500000.00
Pennsylvania,25.6,75.5,3.8,2.1,1.4,1.8,1,10.10,923088800000.00
Rhode Island,25.4,81.3,2.9,2.3,1.5,2.5,1.3,10.50,71402200000.00
South Carolina,14.8,73.5,4.4,2.9,2.2,2.2,1.9,13.60,295880500000.00
South Dakota,17.2,63.9,3.4,3.1,1.8,1.9,0.8,11.00,67570700000.00
Tennessee,17.1,77.8,4.8,2.7,3.5,2.3,1.9,15.20,475755100000.00
Texas,23.5,75.8,4.1,2,2.3,2.3,1,11.70,2355959700000.00
Utah,28.2,76.2,3.5,2.2,1.9,2.2,1.2,11.00,248176300000.00
Vermont,29.5,68.3,4.2,1.1,0.8,2.4,1.1,9.60,40617100000.00
Virginia,24.2,80.1,4.7,2.3,2.4,2.6,1.4,13.40,649392600000.00
West Virginia,16.8,73.8,5.8,3.5,3.5,2.3,2.1,17.20,95588400000.00
Wisconsin,23.6,65,5.1,2.1,2.3,1.8,1.1,12.40,401791500000.00
Wyoming,27.5,62.5,4.8,2.8,2.4,3.8,1,14.80,47432500000.00